,id,classifier_id,ad_id,classification,ease,workday,timestamp,estado
3,3.0,3,4151371.0,Not WFH,easy,full,,1.0
10,10.0,35,5618348.0,WFH,easy,full,,1.0
21,21.0,26,4111264.0,Not WFH,easy,full,2024-07-25 04:04:21.815068,1.0
22,22.0,11,753299.0,Not WFH,easy,full,,1.0
28,28.0,52,4120831.0,WFH,easy,not clear,2024-07-20 18:22:39.200533,1.0
31,31.0,11,5104060.0,Not WFH,easy,full,,1.0
32,32.0,8,3849639.0,Not WFH,easy,full,,1.0
37,37.0,8,3968494.0,Not WFH,easy,full,,1.0
39,39.0,9,5336418.0,WFH,easy,full,,1.0
40,40.0,34,3951890.0,Not WFH,medium,full,,1.0
41,41.0,8,560618.0,Not WFH,easy,full,,1.0
45,45.0,8,2260836.0,Not WFH,medium,part,,1.0
51,51.0,11,4113784.0,WFH,hard,not clear,,1.0
52,52.0,11,3630466.0,Not WFH,medium,full,,1.0
56,56.0,34,3584228.0,WFH,easy,full,,1.0
59,59.0,41,4266170.0,WFH,easy,part,,1.0
72,72.0,41,4105646.0,WFH,medium,not clear,,1.0
76,76.0,11,3475184.0,Not WFH,medium,full,,1.0
80,80.0,8,1293304.0,Not WFH,medium,part,,1.0
89,89.0,48,5335223.0,WFH,medium,not clear,,1.0
105,105.0,41,5447583.0,WFH,easy,full,,1.0
119,119.0,29,3841828.0,Not WFH,easy,full,,1.0
126,126.0,11,3347561.0,Not WFH,easy,part,,1.0
129,129.0,11,5446483.0,Not WFH,easy,full,,1.0
134,134.0,30,1324856.0,Not WFH,medium,full,,1.0
137,137.0,34,5602755.0,WFH,easy,full,,1.0
138,138.0,11,2498768.0,Not WFH,easy,full,,1.0
141,141.0,2,5574549.0,WFH,easy,not clear,2024-07-16 18:49:28.401699,1.0
146,146.0,28,5408819.0,Not WFH,easy,full,,1.0
154,154.0,8,3139962.0,Not WFH,easy,full,,1.0
179,179.0,50,2313809.0,WFH,medium,part,,1.0
191,191.0,8,3948125.0,Not WFH,medium,full,,1.0
211,211.0,11,2540863.0,Not WFH,easy,part,,1.0
212,212.0,24,5194904.0,WFH,easy,not clear,,1.0
226,226.0,33,4397798.0,Not WFH,easy,full,,1.0
235,235.0,27,749694.0,Not WFH,easy,not clear,,1.0
236,236.0,11,858340.0,Not WFH,easy,part,,1.0
246,246.0,34,4576725.0,WFH,medium,part,,1.0
262,262.0,8,2787729.0,Not WFH,easy,full,,1.0
271,271.0,33,4115829.0,WFH,easy,not clear,,1.0
276,276.0,47,1290006.0,Not WFH,hard,full,,1.0
278,278.0,33,3831702.0,Not WFH,easy,part,,1.0
282,282.0,34,4176326.0,WFH,easy,full,,1.0
284,284.0,8,4005870.0,Not WFH,medium,full,,1.0
295,295.0,8,2142346.0,Not WFH,easy,part,,1.0
303,303.0,2,4242139.0,WFH,easy,full,2024-07-23 05:51:35.252829,1.0
310,310.0,8,819467.0,Not WFH,easy,full,,1.0
312,312.0,29,4122590.0,Not WFH,medium,full,,1.0
314,314.0,39,3810407.0,Not WFH,easy,full,,1.0
325,325.0,43,3941695.0,Not WFH,easy,full,,1.0
337,337.0,30,1019429.0,WFH,easy,full,,1.0
347,347.0,44,5420148.0,WFH,easy,full,,1.0
389,389.0,9,5334694.0,Not WFH,medium,full,,1.0
391,391.0,34,299917.0,Not WFH,medium,full,,1.0
393,393.0,46,3330379.0,Not WFH,easy,full,,1.0
411,411.0,52,5363632.0,WFH,hard,full,2024-07-17 01:05:51.332972,1.0
421,421.0,19,4408417.0,Not WFH,easy,full,,1.0
425,425.0,17,4254998.0,WFH,easy,full,,1.0
439,439.0,27,407701.0,Not WFH,easy,part,,1.0
442,442.0,23,5155487.0,WFH,easy,not clear,,1.0
464,464.0,29,5356697.0,WFH,easy,not clear,,1.0
491,491.0,8,3164328.0,Not WFH,easy,not clear,,1.0
501,501.0,13,5008769.0,WFH,easy,full,,1.0
503,503.0,38,5659769.0,Not WFH,hard,not clear,2024-07-18 02:36:46.995636,1.0
526,526.0,8,3308398.0,Not WFH,easy,part,,1.0
538,538.0,34,4016009.0,WFH,easy,full,,1.0
554,554.0,19,2687267.0,WFH,easy,full,,1.0
556,556.0,15,5271700.0,Not WFH,medium,full,2024-07-16 18:51:38.765079,1.0
566,566.0,50,2245392.0,Not WFH,easy,full,,1.0
584,584.0,8,2809158.0,Not WFH,easy,not clear,,1.0
592,592.0,25,5226737.0,WFH,easy,not clear,,1.0
594,594.0,50,5049283.0,WFH,easy,full,,1.0
598,598.0,34,2464327.0,Not WFH,easy,full,,1.0
611,611.0,8,2770450.0,Not WFH,easy,part,,1.0
619,619.0,34,3869122.0,Not WFH,easy,full,,1.0
630,630.0,34,4050546.0,Not WFH,easy,full,,1.0
640,640.0,34,3209619.0,WFH,easy,not clear,,1.0
643,643.0,52,5181307.0,Not WFH,easy,full,2024-07-23 05:07:26.19453,1.0
655,655.0,14,5101023.0,Not WFH,medium,full,,1.0
660,660.0,11,4138955.0,Not WFH,medium,full,,1.0
661,661.0,49,4209187.0,WFH,easy,full,2024-07-16 18:26:12.033629,1.0
662,662.0,8,2696994.0,Not WFH,easy,full,,1.0
671,671.0,36,5288467.0,WFH,easy,full,,1.0
672,672.0,34,1242874.0,Not WFH,easy,part,,1.0
675,675.0,34,4105455.0,WFH,medium,full,,1.0
680,680.0,8,3873207.0,Not WFH,easy,full,,1.0
684,684.0,8,3250533.0,Not WFH,easy,full,,1.0
686,686.0,11,5326513.0,Not WFH,easy,full,,1.0
697,697.0,25,4479533.0,WFH,easy,full,,1.0
701,701.0,36,5315624.0,WFH,easy,not clear,,1.0
714,714.0,2,5658928.0,Not WFH,easy,full,2024-07-15 23:09:06.333343,1.0
761,761.0,39,4438099.0,Not WFH,easy,full,,1.0
774,774.0,8,400356.0,Not WFH,easy,full,,1.0
780,780.0,15,4151220.0,Not WFH,easy,full,2024-07-31 18:22:46.801647,1.0
788,788.0,11,4147405.0,WFH,easy,full,,1.0
789,789.0,11,4278071.0,WFH,medium,full,,1.0
792,792.0,34,3921049.0,Not WFH,medium,full,,1.0
805,805.0,48,5072728.0,WFH,easy,full,,1.0
814,814.0,48,5554306.0,WFH,easy,full,,1.0
833,833.0,8,2328959.0,Not WFH,easy,full,,1.0
836,836.0,25,4148338.0,WFH,easy,full,,1.0
839,839.0,27,4102288.0,WFH,easy,full,,1.0
841,841.0,38,5259019.0,Not WFH,easy,full,2024-07-22 20:27:03.897138,1.0
855,855.0,34,5609726.0,WFH,easy,full,,1.0
860,860.0,15,5220493.0,Not WFH,hard,full,2024-07-15 20:50:57.582005,1.0
861,861.0,31,5193360.0,WFH,easy,full,,1.0
863,863.0,34,4133562.0,Not WFH,medium,not clear,,1.0
873,873.0,11,4249095.0,WFH,easy,not clear,,1.0
885,885.0,11,4129433.0,Not WFH,easy,part,,1.0
886,886.0,44,3651288.0,Not WFH,easy,full,,1.0
890,890.0,34,5122869.0,WFH,easy,full,,1.0
898,898.0,34,4405238.0,Not WFH,easy,full,,1.0
899,899.0,32,416778.0,WFH,easy,part,,1.0
909,909.0,9,1645789.0,Not WFH,easy,part,,1.0
928,928.0,8,4079879.0,WFH,easy,full,,1.0
929,929.0,34,5290990.0,Not WFH,easy,full,,1.0
939,939.0,34,425139.0,Not WFH,easy,full,,1.0
950,950.0,34,3391654.0,Not WFH,easy,full,,1.0
951,951.0,38,4203142.0,WFH,easy,full,2024-07-24 04:55:32.16644,1.0
957,957.0,8,586292.0,Not WFH,easy,part,,1.0
996,996.0,26,5267013.0,WFH,easy,full,2024-07-24 04:45:35.522016,1.0
1004,1004.0,8,4053464.0,Not WFH,easy,full,,1.0
1005,1005.0,15,5220598.0,WFH,easy,not clear,2024-07-20 21:27:30.418816,1.0
1012,1012.0,50,4032781.0,Not WFH,easy,full,,1.0
1020,1020.0,39,2728498.0,Not WFH,easy,part,,1.0
1026,1026.0,2,4147781.0,Not WFH,medium,not clear,2024-07-16 18:35:31.905211,1.0
1028,1028.0,34,1457134.0,Not WFH,easy,full,,1.0
1034,1034.0,34,4005605.0,Not WFH,hard,not clear,,1.0
1053,1053.0,34,1236913.0,Not WFH,easy,full,,1.0
1057,1057.0,29,3873202.0,Not WFH,medium,full,,1.0
1078,1078.0,34,5583767.0,Not WFH,medium,full,,1.0
1087,1087.0,2,4162145.0,Not WFH,easy,part,2024-08-14 15:49:11.757398,1.0
1096,1096.0,11,1517460.0,Not WFH,easy,full,,1.0
1098,1098.0,26,5089245.0,Not WFH,hard,not clear,2024-07-17 16:28:49.948025,1.0
1111,1111.0,11,3420487.0,Not WFH,easy,full,,1.0
1118,1118.0,8,4089589.0,WFH,easy,not clear,,1.0
1127,1127.0,49,4268276.0,WFH,easy,full,2024-07-18 02:30:14.675352,1.0
1131,1131.0,34,4103506.0,WFH,easy,full,,1.0
1133,1133.0,30,5090749.0,WFH,easy,not clear,,1.0
1143,1143.0,11,3586919.0,Not WFH,easy,full,,1.0
1144,1144.0,50,4449887.0,Not WFH,easy,full,,1.0
1145,1145.0,31,5488525.0,Not WFH,easy,full,,1.0
1147,1147.0,34,320097.0,Not WFH,easy,full,,1.0
1157,1157.0,46,5607017.0,Not WFH,hard,full,,1.0
1173,1173.0,19,4046927.0,WFH,easy,full,,1.0
1179,1179.0,8,3846896.0,WFH,easy,not clear,,1.0
1190,1190.0,11,4040962.0,WFH,easy,full,,1.0
1193,1193.0,11,3908428.0,Not WFH,medium,full,,1.0
1197,1197.0,21,5454988.0,WFH,easy,not clear,,1.0
1200,1200.0,11,4496579.0,WFH,easy,full,,1.0
1201,1201.0,8,3777945.0,Not WFH,easy,full,,1.0
1210,1210.0,3,4110440.0,Not WFH,easy,full,,1.0
1213,1213.0,25,3191577.0,Not WFH,easy,part,,1.0
1216,1216.0,8,318658.0,Not WFH,medium,not clear,,1.0
1219,1219.0,7,218845.0,Not WFH,easy,not clear,,1.0
1220,1220.0,34,4077599.0,Not WFH,easy,full,,1.0
1222,1222.0,8,596213.0,Not WFH,easy,full,,1.0
1224,1224.0,15,5423587.0,WFH,easy,not clear,2024-07-15 21:24:05.263678,1.0
1231,1231.0,27,1874906.0,Not WFH,easy,full,,1.0
1237,1237.0,34,5082637.0,WFH,easy,not clear,,1.0
1253,1253.0,14,3253914.0,Not WFH,medium,full,,1.0
1254,1254.0,2,4133333.0,Not WFH,easy,full,2024-07-17 19:59:49.04053,1.0
1261,1261.0,46,394944.0,Not WFH,medium,part,,1.0
1266,1266.0,8,3000456.0,Not WFH,easy,part,,1.0
1277,1277.0,41,377717.0,WFH,easy,part,,1.0
1300,1300.0,27,688957.0,Not WFH,medium,not clear,,1.0
1301,1301.0,11,1939513.0,Not WFH,easy,not clear,,1.0
1318,1318.0,44,4043418.0,Not WFH,easy,full,,1.0
1325,1325.0,46,5594231.0,WFH,easy,full,,1.0
1327,1327.0,35,4032874.0,WFH,medium,not clear,,1.0
1329,1329.0,11,4027013.0,Not WFH,easy,full,,1.0
1340,1340.0,11,3428039.0,Not WFH,easy,full,,1.0
1341,1341.0,43,3853186.0,Not WFH,easy,full,,1.0
1342,1342.0,30,5283104.0,WFH,easy,not clear,,1.0
1362,1362.0,41,278601.0,Not WFH,medium,full,,1.0
1380,1380.0,11,3093424.0,Not WFH,easy,part,,1.0
1383,1383.0,8,4098735.0,WFH,easy,full,,1.0
1404,1404.0,11,5014242.0,WFH,easy,full,,1.0
1406,1406.0,11,2887427.0,Not WFH,easy,not clear,,1.0
1413,1413.0,8,2111637.0,Not WFH,medium,not clear,,1.0
1418,1418.0,33,2478417.0,Not WFH,easy,part,,1.0
1429,1429.0,25,5664377.0,Not WFH,easy,full,,1.0
1431,1431.0,49,4129892.0,WFH,easy,not clear,2024-07-17 03:04:15.980639,1.0
1433,1433.0,34,2922504.0,Not WFH,easy,full,,1.0
1444,1444.0,29,4658664.0,WFH,easy,full,,1.0
1445,1445.0,11,3296164.0,Not WFH,easy,part,,1.0
1447,1447.0,11,4060213.0,WFH,easy,full,,1.0
1462,1462.0,8,3501938.0,Not WFH,easy,full,,1.0
1480,1480.0,11,1048088.0,Not WFH,easy,full,,1.0
1495,1495.0,8,4017434.0,WFH,easy,full,,1.0
1496,1496.0,3,5093466.0,Not WFH,easy,not clear,,1.0
1505,1505.0,27,3880785.0,Not WFH,medium,full,,1.0
1528,1528.0,34,4585777.0,WFH,easy,not clear,,1.0
1539,1539.0,47,4059568.0,WFH,easy,full,,1.0
1549,1549.0,43,5184069.0,WFH,easy,not clear,,1.0
1556,1556.0,22,5603842.0,WFH,easy,full,,1.0
1567,1567.0,22,4482879.0,WFH,easy,not clear,,1.0
1569,1569.0,38,4460740.0,WFH,easy,full,2024-07-25 03:42:09.595438,1.0
1577,1577.0,7,222997.0,WFH,easy,part,,1.0
1586,1586.0,8,2516172.0,Not WFH,easy,not clear,,1.0
1591,1591.0,48,4193056.0,Not WFH,medium,full,,1.0
1597,1597.0,27,1436898.0,Not WFH,easy,part,,1.0
1598,1598.0,52,4112145.0,Not WFH,easy,full,2024-07-25 05:09:07.210494,1.0
1617,1617.0,41,4127703.0,Not WFH,easy,part,,1.0
1621,1621.0,8,3061638.0,Not WFH,easy,full,,1.0
1634,1634.0,31,3451943.0,Not WFH,easy,part,,1.0
1638,1638.0,8,1318082.0,Not WFH,easy,full,,1.0
1639,1639.0,32,5325645.0,Not WFH,easy,full,,1.0
1650,1650.0,50,4026185.0,Not WFH,hard,full,,1.0
1655,1655.0,8,4053045.0,Not WFH,easy,full,,1.0
1659,1659.0,11,1401154.0,Not WFH,medium,part,,1.0
1665,1665.0,21,4135776.0,WFH,easy,not clear,,1.0
1668,1668.0,26,5224329.0,WFH,easy,not clear,2024-07-25 03:45:27.459076,1.0
1669,1669.0,24,4118877.0,WFH,easy,full,,1.0
1684,1684.0,3,4466238.0,WFH,medium,not clear,,1.0
1686,1686.0,8,3835420.0,Not WFH,easy,full,,1.0
1695,1695.0,17,5608610.0,WFH,easy,not clear,,1.0
1703,1703.0,13,3930778.0,Not WFH,easy,full,,1.0
1704,1704.0,8,1820680.0,WFH,easy,part,,1.0
1715,1715.0,45,5185791.0,Not WFH,easy,full,,1.0
1726,1726.0,34,729925.0,WFH,easy,full,,1.0
1728,1728.0,45,4083973.0,WFH,easy,full,,1.0
1735,1735.0,37,5200020.0,WFH,easy,full,,1.0
1746,1746.0,34,5273215.0,WFH,easy,full,,1.0
1749,1749.0,17,2428632.0,Not WFH,medium,full,,1.0
1764,1764.0,37,4235533.0,WFH,easy,full,,1.0
1771,1771.0,8,4068860.0,WFH,easy,full,,1.0
1778,1778.0,26,5413476.0,Not WFH,easy,full,2024-07-25 05:56:35.179091,1.0
1785,1785.0,47,4154966.0,WFH,easy,full,,1.0
1801,1801.0,13,5118239.0,WFH,easy,full,,1.0
1803,1803.0,30,5584426.0,WFH,easy,full,,1.0
1804,1804.0,8,2064993.0,WFH,easy,part,,1.0
1814,1814.0,25,1457245.0,Not WFH,easy,full,,1.0
1819,1819.0,34,3820140.0,Not WFH,easy,full,,1.0
1820,1820.0,27,4382449.0,WFH,easy,full,,1.0
1826,1826.0,22,4115172.0,Not WFH,easy,not clear,,1.0
1840,1840.0,26,4153517.0,WFH,easy,not clear,2024-07-15 23:27:30.060324,1.0
1841,1841.0,36,655026.0,Not WFH,medium,full,,1.0
1857,1857.0,34,1194160.0,Not WFH,easy,part,,1.0
1859,1859.0,3,5119450.0,WFH,easy,full,,1.0
1869,1869.0,8,4082009.0,Not WFH,easy,full,,1.0
1872,1872.0,8,697371.0,Not WFH,easy,full,,1.0
1876,1876.0,34,3943606.0,Not WFH,easy,full,,1.0
1889,1889.0,8,4108235.0,Not WFH,easy,full,,1.0
1893,1893.0,11,3963346.0,WFH,easy,full,,1.0
1896,1896.0,36,1161266.0,Not WFH,easy,full,,1.0
1897,1897.0,11,4137184.0,WFH,easy,not clear,,1.0
1913,1913.0,48,5487767.0,Not WFH,hard,full,,1.0
1914,1914.0,30,544001.0,WFH,easy,part,,1.0
1919,1919.0,29,3496503.0,Not WFH,easy,full,,1.0
1920,1920.0,11,5424605.0,WFH,easy,full,,1.0
1928,1928.0,11,3862116.0,Not WFH,easy,full,,1.0
1929,1929.0,11,4176512.0,WFH,easy,not clear,,1.0
1935,1935.0,36,3708984.0,Not WFH,easy,full,,1.0
1938,1938.0,34,4414039.0,Not WFH,easy,full,,1.0
1963,1963.0,36,4151384.0,Not WFH,medium,not clear,,1.0
1965,1965.0,26,5532888.0,WFH,easy,not clear,2024-07-24 07:06:18.100791,1.0
1969,1969.0,48,5186436.0,Not WFH,easy,full,,1.0
1997,1997.0,11,4203467.0,Not WFH,medium,full,,1.0
2002,2002.0,34,5165948.0,WFH,easy,full,,1.0
2005,2005.0,11,3477167.0,Not WFH,easy,full,,1.0
2013,2013.0,11,4581569.0,WFH,easy,full,,1.0
2015,2015.0,43,3949633.0,Not WFH,easy,full,,1.0
2038,2038.0,8,4060573.0,Not WFH,easy,part,,1.0
2052,2052.0,8,3981011.0,Not WFH,medium,full,,1.0
2062,2062.0,35,5294438.0,WFH,easy,not clear,,1.0
2065,2065.0,8,4091990.0,Not WFH,easy,not clear,,1.0
2071,2071.0,11,5583236.0,WFH,hard,full,,1.0
2073,2073.0,25,4075025.0,WFH,easy,not clear,,1.0
2079,2079.0,23,5499670.0,WFH,easy,not clear,,1.0
2093,2093.0,3,5616238.0,Not WFH,easy,full,,1.0
2097,2097.0,39,4089089.0,WFH,easy,full,,1.0
2114,2114.0,11,514660.0,Not WFH,hard,full,,1.0
2136,2136.0,8,4031817.0,Not WFH,easy,part,,1.0
2138,2138.0,24,4119243.0,Not WFH,easy,not clear,,1.0
2139,2139.0,19,4149325.0,Not WFH,medium,full,,1.0
2142,2142.0,23,4157608.0,Not WFH,easy,full,,1.0
2145,2145.0,31,5578809.0,WFH,easy,not clear,,1.0
2156,2156.0,11,4065240.0,Not WFH,easy,full,,1.0
2166,2166.0,24,4088649.0,Not WFH,easy,full,,1.0
2187,2187.0,11,5165362.0,Not WFH,medium,full,,1.0
2203,2203.0,34,5569677.0,WFH,easy,not clear,,1.0
2204,2204.0,8,887432.0,Not WFH,easy,full,,1.0
2209,2209.0,8,3919287.0,Not WFH,easy,full,,1.0
2211,2211.0,29,1318957.0,Not WFH,easy,full,,1.0
2218,2218.0,34,1208205.0,Not WFH,easy,full,,1.0
2224,2224.0,34,3773234.0,Not WFH,easy,full,,1.0
2242,2242.0,32,409324.0,Not WFH,easy,full,,1.0
2245,2245.0,8,3973798.0,Not WFH,easy,full,,1.0
2247,2247.0,9,2444214.0,Not WFH,easy,full,,1.0
2250,2250.0,34,3462908.0,Not WFH,easy,full,,1.0
2251,2251.0,44,5624583.0,WFH,easy,not clear,,1.0
2273,2273.0,21,5642550.0,WFH,hard,full,,1.0
2278,2278.0,30,4427502.0,Not WFH,easy,not clear,,1.0
2291,2291.0,8,3479671.0,Not WFH,medium,not clear,,1.0
2295,2295.0,34,4069201.0,WFH,easy,not clear,,1.0
2306,2306.0,3,5323837.0,WFH,easy,not clear,,1.0
2307,2307.0,8,4046215.0,WFH,easy,full,,1.0
2312,2312.0,8,4048512.0,WFH,easy,not clear,,1.0
2313,2313.0,27,5096242.0,WFH,easy,full,,1.0
2319,2319.0,30,4057667.0,Not WFH,medium,full,,1.0
2326,2326.0,33,5172813.0,Not WFH,medium,full,,1.0
2328,2328.0,11,5201238.0,WFH,easy,not clear,,1.0
2330,2330.0,8,4047367.0,WFH,easy,full,,1.0
2355,2355.0,11,5618379.0,Not WFH,easy,full,,1.0
2371,2371.0,8,2317457.0,Not WFH,easy,part,,1.0
2375,2375.0,28,790006.0,WFH,easy,part,,1.0
2384,2384.0,19,268577.0,Not WFH,easy,full,,1.0
2385,2385.0,14,3773543.0,WFH,easy,full,,1.0
2404,2404.0,34,4144049.0,WFH,easy,not clear,,1.0
2405,2405.0,20,5263014.0,WFH,easy,full,,1.0
2426,2426.0,7,205762.0,Not WFH,easy,full,,1.0
2427,2427.0,34,3554200.0,Not WFH,easy,full,,1.0
2433,2433.0,28,374555.0,Not WFH,easy,full,,1.0
2437,2437.0,34,1480838.0,Not WFH,easy,full,,1.0
2447,2447.0,21,5412495.0,WFH,easy,not clear,,1.0
2456,2456.0,34,3949295.0,Not WFH,easy,full,,1.0
2460,2460.0,30,5170160.0,WFH,easy,not clear,,1.0
2469,2469.0,8,4076602.0,Not WFH,easy,full,,1.0
2470,2470.0,47,5063283.0,WFH,easy,full,,1.0
2475,2475.0,11,3924746.0,Not WFH,easy,full,,1.0
2476,2476.0,8,4077269.0,Not WFH,easy,part,,1.0
2484,2484.0,34,3038843.0,Not WFH,easy,full,,1.0
2487,2487.0,8,2869919.0,Not WFH,easy,full,,1.0
2489,2489.0,26,5273892.0,WFH,medium,full,2024-07-22 17:23:07.382159,1.0
2490,2490.0,34,3843410.0,Not WFH,medium,full,,1.0
2493,2493.0,34,3028927.0,WFH,easy,not clear,,1.0
2509,2509.0,32,450807.0,Not WFH,easy,part,,1.0
2559,2559.0,11,4200237.0,Not WFH,easy,full,,1.0
2563,2563.0,50,4639887.0,Not WFH,easy,full,,1.0
2571,2571.0,27,3873717.0,Not WFH,easy,full,,1.0
2579,2579.0,3,4125637.0,WFH,easy,not clear,,1.0
2580,2580.0,11,5101084.0,WFH,easy,full,,1.0
2584,2584.0,48,5637479.0,WFH,easy,full,,1.0
2596,2596.0,17,5617770.0,Not WFH,easy,not clear,,1.0
2599,2599.0,48,4133251.0,Not WFH,medium,full,,1.0
2600,2600.0,8,3409275.0,Not WFH,easy,full,,1.0
2610,2610.0,8,1554057.0,Not WFH,easy,full,,1.0
2626,2626.0,26,5302793.0,WFH,easy,not clear,2024-07-16 00:04:34.517128,1.0
2627,2627.0,50,539858.0,WFH,easy,part,,1.0
2634,2634.0,8,3836932.0,Not WFH,hard,part,,1.0
2637,2637.0,19,4080061.0,WFH,easy,not clear,,1.0
2641,2641.0,31,5140367.0,Not WFH,easy,full,,1.0
2644,2644.0,8,3903637.0,Not WFH,easy,full,,1.0
2658,2658.0,34,284461.0,Not WFH,easy,full,,1.0
2659,2659.0,24,5629167.0,WFH,hard,full,,1.0
2684,2684.0,13,5192318.0,WFH,easy,not clear,,1.0
2691,2691.0,8,3707531.0,Not WFH,hard,full,,1.0
2695,2695.0,8,3950550.0,Not WFH,easy,full,,1.0
2696,2696.0,15,5559081.0,WFH,easy,full,2024-08-14 19:19:02.406038,1.0
2703,2703.0,8,3922908.0,Not WFH,easy,full,,1.0
2705,2705.0,8,616151.0,WFH,easy,part,,1.0
2706,2706.0,43,688635.0,Not WFH,easy,full,,1.0
2713,2713.0,8,3193176.0,Not WFH,easy,part,,1.0
2716,2716.0,9,5630743.0,WFH,easy,not clear,,1.0
2731,2731.0,9,4092213.0,WFH,easy,full,,1.0
2733,2733.0,8,3830926.0,Not WFH,easy,full,,1.0
2737,2737.0,23,636979.0,Not WFH,easy,part,,1.0
2739,2739.0,47,2665578.0,Not WFH,medium,part,,1.0
2750,2750.0,8,3916609.0,Not WFH,easy,full,,1.0
2756,2756.0,34,5320485.0,WFH,easy,full,,1.0
2759,2759.0,44,2875033.0,Not WFH,medium,full,,1.0
2761,2761.0,45,4069171.0,WFH,easy,full,,1.0
2771,2771.0,22,4084190.0,WFH,easy,full,,1.0
