,aviso,classification
21,"ENCARGADO DE BODEGA SE REQUIERE CONTRATAR ENCARGADO DE BODEGA<br /><br />Entre sus funciones destaca:  <br /><br />- Gestionar la bodega de Repuestos, Lubricantes, materiales e insumos de mantención<br />- Efectuando Cotizaciones, solicitudes de pedidos, recepciones, Ingreso de Facturas, entrega       de  repuestos y materiales a los técnicos.<br />- Tomas de inventarios físicos y sistémicos mensuales<br />- Control de Inventario en cuanto a Costos y a productos<br />- Control de stock crítico de repuestos de alta Rotación y consumo mensual.<br />- Control y Manejo de Proveedores <br />- Creacion de Codigos, Ubicaciones y Orden de la Bodega<br /><br />Requisitos<br /><br />1. Nivel técnico superior o universitario relacionado al cargo.<br />2. Conocimiento en gestión de bodega de Repuestos y Materiales <br />3. De tres a cinco años de experiencia en el cargo.<br />4. Manejo de excel <br />5. Licencia de Conducir Clase B<br />6. Horario de Lunes a Viernes, horario administrativo de 08:00 a 18:00 Hrs Jornada Completa Requisitos<br /><br />1. Nivel técnico superior o universitario relacionado al cargo.<br />2. Conocimiento en gestión de bodega de Repuestos y Materiales <br />3. De tres a cinco años de experiencia en el cargo.<br />4. Manejo de excel <br />5. Licencia de Conducir Clase B<br />6. Horario de Lunes a Viernes, horario administrativo de 08:00 a 18:00 Hrs COMUNA DE MAULE, RUTA 5 SUR KM 266",Not WFH
101,"EU para Residencia Sanitaria Se requieren EU para Residencia Sanitaria ubicada en la comuna de Santiago.<br><br>Requisitos:<br>* Título Profesional<br>* Registro SIS<br>* Disponibilidad para trabajar en jornada 24X3<br>* Disponibilidad inmediata<br> Por Turnos * Título Profesional<br />* Registro SIS<br />* Disponibilidad para trabajar en jornada 24X3<br />* Disponibilidad inmediata<br /> Santiago Metropolitan Region, Chile",Not WFH
108,"ESTACIÓN CENTRAL/OPERARIOS/AS PRODUCCIÓN Importante fábrica de plásticos esta en búsqueda de OPERARIOS/AS DE PRODUCCIÓN para trabajar en planta ubicada en la comuna Estación Central.<br /><br />Funciones:<br /><br />Recibir productos de máquina de inyectado<br /><br />Embolsar envases.<br /><br />Etiquetar empaque.<br /><br />Armado de pallets.<br /><br />Se Ofrece:<br /><br />Posibilidad de ser internalizado.<br /><br />Servicio de Casino.<br /><br />Buen clima laboral.<br /><br />Lunes a Sábado de 07:00 a 15:00 / 15:00 a 23:00 / 23:00 a 07:00 hrs con 30 minutos de colación.<br /><br />Renta: $450.000.<br /><br />Requisitos:<br /><br />Tolerancia a trabajar a altas temperaturas.<br /><br />1 año de experiencia en producción.<br /><br />Interesados presentarse a entrevista el día Lunes 11 de enero a las 11:30 hrs en la dirección Arzobispo Larrain Gandarillas #125, al momento de llegar tiene que preguntar por Angelina Aliaga. Por Turnos EXPERIENCIA EN EL CARGO ",Not WFH
136,"Analista/Ingeniero Senior Licitaciones CMPC Tissue busca incorporar a la Subgerencia de Compras un profesional en el cargo de Ingeniero Senior de Licitaciones para su planta ubicada en la comuna de Puente Alto. <br /><br />La misión general del cargo es realizar y ejecutar los procesos de compras de materiales, repuestos y servicios de mantención a través de licitaciones, en forma coordinada con las Plantas y/o Gerencias de CMPC Tissue Chile, con el fin de lograr satisfacer de forma oportuna y al más bajo costo factible las necesidades requeridas.<br /><br />Funciones:<br />- Ejecutar los proyectos de negociación (licitaciones) de materiales, repuestos y servicios de mantención en conjunto con los distintos actores, logrando el costo más bajo factible, resguardando niveles de calidad y oportunidad.<br />- Preparar, con la participación de todos los involucrados, las estrategias, bases administrativas y contratos para las principales compras de materiales, repuestos y servicios de mantención, logrando una licitación transparente, oportuna y de calidad.<br />- Realizar las cotizaciones, licitaciones, investigaciones de mercado, desarrollo de proveedores, etc. que sean necesarios en el proceso de licitación, contribuyendo con ello a un eficiente proceso de compra que logre dar respuesta en los tiempos y calidad solicitados por el cliente interno.<br />- Participar en reuniones y/o visitas con las Plantas y/o Gerencias, como así en las negociaciones de las condiciones comerciales y contractuales, logrando entender la necesidad del cliente interno y contribuir al logro del precio más bajo factible,  resguardando niveles de calidad y oportunidad.<br /> <br />Requisitos:<br />1.- Título profesional de Ingeniero Civíl Mecánico, Eléctrico, Industrial, Ingeniero Comercial o similar.<br />2.- Experiencia comprobable de al menos dos año en el área de Compras de Bienes y/o Servicios / Abastecimiento. <br />3.- Disponibilidad para trabajar en Puente Alto. Jornada Completa - SAP Módulo MM.<br />- Experiencia en licitaciones. Puente Alto",Not WFH
192,"Alumno en práctica Se requiere alumno en práctica para el primer semestre 2017, de preferencia egresado con conocimientos de evaluación de proyectos. Jornada Completa Conocimientos técnicos de mecánica, estructuras.
Conocimientos en autocad, programa de diseño, visio, project. placilla",Not WFH
217,"Ejecutivos Call Center sin Experiencia Esta es tu oportunidad para formar parte de una empresa líder y el único Contact Center dentro del Ranking de Great Place To Work. Contamos con diversos beneficios pensados para ti y una línea de carrera para que puedas crecer con nosotros.<br /><br />Función: atención telefónica y consultas comerciales.<br /><br />Requisitos:<br /><br />Enseñanza media completa.<br />Sin experiencia laboral.<br />Manejo de PC a nivel usuario.<br />Disponibilidad para trabajar en jornadas de 30 y 45 horas semanales.<br /> <br />Beneficios:<br /><br />Sueldo base + incentivo + Colación + Movilización.<br />Convenio con casas de estudios, cajas de compensación, salud, seguro médico y dental.<br />Actividades extra programáticas para festividades especiales.<br />Premiación por desempeño.<br />Descuentos en áreas recreacionales.<br />Trabajo Céntrico<br />Excelente clima laboral. Jornada Completa Enseñanza media completa.<br />Sin experiencia laboral.<br />Manejo de PC a nivel usuario.<br />Disponibilidad para trabajar en jornadas de 30 y 45 horas semanales. Santiango",Not WFH
248,"Vendedor/a AMPHORA  

FUNCIONES PRINCIPALES: 
Efectuar los esfuerzos necesarios para alcanzar las metas y objetivos planteados por el área comercial. 
Custodiar el stock de la tienda. 
Cumplir los deberes administrativos y laborales de la empresa.  

JORNADA LABORAL: 
Part Time (5 días a la semana) 6 horas diarias de 16:00 - 22:00 hrs

 Part Time - Mínimo un año de experiencia en ventas. 
- Contar con disponibilidad para trabajar en el horario mencionado. Santiago, La Florida",Not WFH
390,"Asistente de Venta Full Time Las Condes     
Lápiz López, importante empresa de Retail, requiere contratar para su sucursal de la comuna de Las Condes específicamente en San Damián, a personas que deseen trabajar full time (45 horas semanales) para el cargo Asistentes de Venta, donde la función principal es la atención al cliente y la venta de los diversos artículos que se ofrecen en la tienda.
 La búsqueda esta orientada a personas proactivas, motivadas y comprometidas con su trabajo. Se ofrece, estabilidad, grato ambiente laboral y proyecciones dentro de la empresa.  Comisionista Mayor de 18 años y enseñanza media completa. Las Condes",Not WFH
420,"Analista Comercial Importante banco, requiere contratrar un Analista Comercial para la banca Persona, que se integre al departamente de Inteligencia de Negocios.
 Funciones:
1. Mantener coordinación permanente con las distintas bancas de la Gerencia General de Créditos, apoyando la implementación y posterior evaluación de las acciones comerciales.
2. Desarrollar y mantener modelos estadísticos que apoyen la toma de deciciones de acciones comerciales.
3. Generar análisis cuantitativos que permitan aumentar el conocimiento de clientes en la empresa.
4. Participar en la ejecución e implementación de nuevos proyectos liderados por otras Gerencias.
5. Proponer e implementar indicadores métricos de gestión relacionados al negocio y actividades relevantes del área que se desean controlar y monitorear. 
6. Obtener, confeccionar y evaluar la información de gestión para la toma de decisiones y lineamientos de acción. Jornada Completa Estudios de Ingenría Comercial, Civil Industrial ó Ingeniero ó Licenciado en Estadística. Hombre o mujer. Entre 24  y 28 años. Idealmente experiencia de un año en Inteligencia de Negocios - Marketing Cuantitativo - Data Mining - Estadística Avanzada. Idealmente conocimiento en programas estidisticos como SPSS y Clementine.También puede ser una persona recién titulada con conocimientos en programación SQL y que haya realizado su trabajo de título en temas de inteligencia de negocio.
 Santiago",Not WFH
431,"Taller de Cocina TELETRABAJO Buscamos un estudiante o profesional para realizar 4 videos de recetas simples con ingredientes que podamos encontrar en casa. Los videos deben ser dinámicos, creativos pero simples.<br /><br />Modalidad TELETRABAJO Part Time Gastronomía Teletrabajo",WFH
