,0
0,371471
1,2664304
2,5222352
3,1731617
4,5342113
5,4105720
6,5589079
7,4091418
8,4509665
9,4266170
10,5649052
11,746863
12,5594377
13,456345
14,5312655
15,4466238
16,5200020
17,5408366
18,5203667
19,4069201
20,5532888
21,5354803
22,4359451
23,5543898
24,4070760
25,4080822
26,4146448
27,4225268
28,5034276
29,4421338
30,4215732
31,5573114
32,4066920
33,4311382
34,4079713
35,3771691
36,4155079
37,5082724
38,4031564
39,4104783
40,5113918
41,5642550
42,5569196
43,4193376
44,4154799
45,5179933
46,3673314
47,408091
48,4087743
49,2970648
50,4092912
51,4046448
52,4213075
53,5335223
54,4155120
55,4440613
56,4208322
57,5155487
58,4239713
59,5624729
60,5641306
61,5230168
62,4034772
63,5408629
64,5573308
65,5231529
66,4136673
67,5134266
68,5568035
69,4623183
70,5100850
71,4408201
72,4065673
73,4090858
74,4135641
75,686022
76,4092173
77,5362625
78,4097923
79,2161564
80,4555988
81,5602755
82,5415292
83,5012325
84,3522023
85,4339039
86,5472319
87,5616301
88,4111934
89,5375221
90,5530006
91,4154921
92,5633009
93,5473381
94,4054970
95,4045589
96,405122
97,659112
98,5565660
99,5326784
100,4524505
101,5655049
102,4542687
103,5420835
104,4457371
105,419006
106,4660871
107,5456294
108,4591461
109,4515097
110,3238024
111,5593238
112,5491954
113,951707
114,5068592
115,4104519
116,5594275
117,4030814
118,4142668
119,5642806
120,4652418
121,3660764
122,4484780
123,3559342
124,4382079
125,5149509
126,4080459
127,5578809
128,4169831
129,4483111
130,5349545
131,5208922
132,4393033
133,1052112
134,5069136
135,4124002
136,4433131
137,4659462
138,3791879
139,4059268
140,5547116
141,4389171
142,5226990
143,4338268
144,5271301
145,4089664
146,4049115
147,1329478
148,4189870
149,4158229
150,4095537
151,5624583
152,1605295
153,5300354
154,4127269
155,1638212
156,5596368
157,5575992
158,5339638
159,4105455
160,354279
161,5365500
162,5556093
163,4140782
164,1019429
165,4115308
166,5397478
167,3626851
168,3904377
169,2456766
170,4074536
171,3399211
172,4374321
173,4155956
174,4091912
