id,classifier_id,ad_id,classification,ease,timestamp,,,,
0,133,4068959,temp_remote,easy,02:30.3,,,,
1,397,3651421,not_remote,easy,41:58.3,,,,
2,2,4092912,tot_remote,easy,16:31.1,,,,
3,5,3552619,tot_remote,easy,53:40.6,,,,
4,166,4138119,semi_presence,medium,31:52.7,,,,
5,331,5281637,not_remote,easy,15:00.4,,,,
6,298,4346681,temp_remote,easy,46:16.0,,,,
7,166,4142668,temp_remote,medium,48:49.9,,,,
8,166,5023278,not_remote,medium,24:27.0,,,,
9,3,4237249,temp_remote,medium,,,,,
10,5,1864632,not_remote,easy,48:01.9,,,,
11,397,4085742,temp_remote,easy,12:09.3,,,,
12,265,5630666,semi_presence,easy,00:00.4,,,,
13,67,4075239,tot_remote,easy,12:53.6,,,,
14,67,4111931,tot_remote,easy,18:10.3,,,,
15,133,5363905,tot_remote,easy,18:56.6,,,,
16,397,5008769,tot_remote,easy,31:11.3,,,,
17,5,4131428,tot_remote,easy,53:34.9,,,,
18,67,1770558,not_clear_remote,medium,58:56.8,,,,
19,397,5669217,semi_presence,easy,44:19.8,,,,
20,5,5522204,not_remote,easy,42:10.4,,,,
21,397,5119450,tot_remote,easy,58:38.4,,,,
22,298,4097604,semi_remote,easy,56:40.5,,,,
23,67,5184069,tot_remote,medium,55:07.9,,,,
24,5,5597041,not_remote,easy,,,,,
25,34,5558105,not_clear_remote,easy,21:32.5,,,,
26,397,5632920,semi_remote,easy,43:28.9,,,,
27,67,5361497,not_clear_remote,hard,05:27.6,,,,
28,397,5627052,semi_remote,easy,48:04.5,,,,
29,232,5008769,tot_remote,easy,07:41.6,,,,
30,100,3843280,semi_remote,medium,44:35.7,,,,
31,166,5325080,tot_remote,medium,29:38.8,,,,
32,133,4100056,temp_remote,easy,15:36.2,,,,
33,397,3316539,not_remote,easy,,,,,
34,5,4209940,tot_remote,easy,,,,,
35,5,4276011,tot_remote,easy,,,,,
36,199,5276693,not_clear_remote,easy,59:04.1,,,,
37,5,5553532,not_clear_remote,medium,,,,,
38,5,4030726,tot_remote,easy,,,,,
39,232,4145974,temp_remote,easy,19:13.3,,,,
40,67,5122869,not_clear_remote,medium,51:08.0,,,,
41,5,5613342,not_clear_remote,hard,,,,,
42,199,5415292,semi_remote,medium,02:45.9,,,,
43,133,3205966,not_remote,easy,00:37.6,,,,
44,133,4104471,semi_presence,medium,27:27.4,,,,
45,5,5561542,semi_presence,easy,42:53.9,,,,
46,5,4141475,tot_remote,easy,,,,,
47,265,4154691,tot_remote,medium,00:37.3,,,,
48,34,4623183,not_remote,easy,26:12.5,,,,
49,298,5569230,semi_presence,easy,48:09.9,,,,
50,67,2972425,tot_remote,easy,19:21.8,,,,
51,100,5551953,semi_remote,easy,35:17.6,,,,
52,34,4056783,semi_remote,easy,05:52.0,,,,
53,100,4120549,semi_remote,medium,56:49.4,,,,
54,67,5300884,not_remote,easy,29:07.8,,,,
55,5,5217530,not_remote,easy,,,,,
56,5,5129487,not_clear_remote,medium,,,,,
57,166,5386087,semi_remote,medium,24:09.5,,,,
58,397,4173323,tot_remote,easy,46:18.8,,,,
59,133,5335223,not_clear_remote,medium,56:42.0,,,,
60,67,4120515,tot_remote,easy,30:58.1,,,,
61,298,3003811,not_remote,easy,46:13.2,,,,
62,397,4103941,tot_remote,easy,13:59.7,,,,
63,5,4046215,temp_remote,easy,,,,,
64,397,2694178,not_clear_remote,easy,,,,,
65,100,4055412,not_clear_remote,medium,26:34.7,,,,
66,5,5263015,semi_presence,easy,,,,,
67,265,4034692,tot_remote,easy,13:53.9,,,,
68,298,5326669,not_remote,easy,15:19.3,,,,
69,34,4081717,temp_remote,easy,19:23.9,,,,
70,5,5006479,semi_presence,medium,,,,,
71,331,4371110,not_remote,easy,49:20.2,,,,
72,232,5086664,tot_remote,easy,26:16.7,,,,
73,166,5356697,semi_remote,easy,38:36.8,,,,
74,265,415008,tot_remote,medium,30:02.5,,,,
75,3,4053838,tot_remote,easy,39:35.8,,,,
76,331,4135511,semi_presence,medium,22:01.9,,,,
77,298,5628292,semi_remote,easy,49:27.6,,,,
