id,classifier_id,ad_id,classification,ease,timestamp
3249,34,5365500,not_clear_remote,easy,2025-01-28 00:00:06
12,265,5630666,semi_presence,easy,2025-01-28 00:00:24
1198,166,4139240,tot_remote,medium,2025-01-28 00:04:24
694,100,4131612,not_clear_remote,medium,2025-01-28 00:04:54
1794,67,4513297,not_clear_remote,easy,2025-01-28 00:06:06
2531,2,4377001,not_clear_remote,easy,2025-01-28 00:07:48
780,265,474709,tot_remote,easy,2025-01-28 00:07:48
2056,397,4102551,temp_remote,easy,2025-01-28 00:08:48
1736,199,5532888,tot_remote,easy,2025-01-28 00:09:00
919,166,5427978,tot_remote,medium,2025-01-28 00:09:30
175,100,4148067,tot_remote,easy,2025-01-28 00:09:42
498,67,5462967,not_clear_remote,medium,2025-01-28 00:10:12
1281,397,5126697,not_remote,easy,2025-01-28 00:10:30
1170,265,5656374,semi_presence,medium,2025-01-28 00:11:48
263,265,5608610,tot_remote,easy,2025-01-28 00:11:48
4213,331,5649506,semi_presence,medium,2025-01-28 00:12:48
4209,298,5014239,semi_remote,medium,2025-01-28 00:13:30
4489,67,4059747,temp_remote,easy,2025-01-28 00:13:42
5111,232,4186108,semi_remote,easy,2025-01-28 00:15:06
1773,397,5210460,semi_remote,easy,2025-01-28 00:17:06
798,34,3761846,semi_presence,easy,2025-01-28 00:17:42
1519,397,4052452,tot_remote,easy,2025-01-28 00:18:18
2352,34,4320968,tot_remote,easy,2025-01-28 00:19:00
4852,397,4357824,tot_remote,easy,2025-01-28 00:19:06
3109,298,4149388,temp_remote,easy,2025-01-28 00:20:24
1434,265,4153517,tot_remote,easy,2025-01-28 00:21:00
2083,2,4473349,temp_remote,easy,2025-01-28 00:21:18
283,34,217039,not_remote,easy,2025-01-28 00:21:24
3815,133,4080696,not_remote,medium,2025-01-28 00:21:24
2543,2,4282278,not_clear_remote,easy,2025-01-28 00:22:00
1294,166,4078119,tot_remote,easy,2025-01-28 00:24:18
2344,133,4129962,semi_presence,easy,2025-01-28 00:24:36
1343,265,354279,not_remote,easy,2025-01-28 00:24:36
4433,3,4144354,tot_remote,easy,2025-01-28 00:24:42
2103,166,5285558,semi_remote,medium,2025-01-28 00:25:12
2303,100,5097980,not_remote,easy,2025-01-28 00:26:30
3545,265,5613372,semi_presence,easy,2025-01-28 00:26:36
4101,3,5085522,not_clear_remote,medium,2025-01-28 00:28:06
3925,397,4008196,temp_remote,easy,2025-01-28 00:29:12
2368,397,5136723,semi_remote,easy,2025-01-28 00:29:18
2046,67,4500319,semi_presence,easy,2025-01-28 00:29:24
3094,232,1820678,not_remote,easy,2025-01-28 00:29:42
1040,166,5288630,semi_remote,medium,2025-01-28 00:30:18
2806,100,458251,tot_remote,easy,2025-01-28 00:30:42
