,avisoid,empresaid,avisofechapublicacion,avisovacante,mostrarsueldo,avisoexperiencia,expiracion,dias,avisorepublicacion,avisocargo,areanombre,actividadempresanombre,avisocuerpo,disponibilidadnombre,avisoduracioncont,avisolugartrabajo,gradoescolarnombre,situacionestudios,avisorequisitos,carreras,estado,endpagado_o_gratuito,nivelnombre,carreras_array,sueldoestimado,_merge,bucket1,bucket2,bucket3,bucket4,similars
0,377903.0,81,2010-04-08,2.0,0.0,,2010-06-07 00:00:00,60,28,Técnico Operador de Frio,Otra Área,Defensa,"Prestigiosa empresa de consumo masivo, requiere Técnico profesional o Ingeniero de Ejecución en el área de Refrigeración Industrial base amoniaco, con mínimo 2 a 3 años de experiencia en mantenimiento, operación de sistemas,  equipos de refrigeración y Calderas.
Sus funciones son entre otras: 
Operar los equipos de la planta de refrigeración con el propósito de asegurar el suministro de frío en la empresa.
- Inspeccionar los equipos de la planta de refrigeración, a modo de detectar  desviaciones que alteren el producto
- Realizar, mantención y aseo a los sistemas de refrigeracion  que estan en producción.		
-  Reemplazar al operador de caldera según necesidades",Por Turnos,,Santiago,Técnico medio/ colegio técnico,Indiferente,"Técnico Superior refrigeracion
Con experiencia de al menos 2 años en cargo similar en Proceso Productivo (refrigeracion y/o Calderas)",[Técnico en Refrigeración] - ,Desactivo,Pagado,Nivel usuario,,500000.0,Matched (3),1,0,0,0,[4739]
2,405929.0,596291,2010-01-11,10.0,0.0,1.0,2010-03-12 00:00:00,60,2,Agente de Ventas,Comercial,Administración Pública,"Buscamos AGENTES DE VENTA capaces de captar nuevos afiliados interesados en adquirir contratos de salud, contactados telefónicamente y a través de visitas en terreno.",Jornada Completa,Inicialmente Fijo,Providencia,Media,Indiferente,"Se requieren personas altamente motivadas por el área de la venta de intangibles y que cuenten con las comptenecias para el cargo. Se ofrece ser parte de la empresa líder en el rubro, con excelentes beneficios institucionales",,Desactivo,Pagado,Nivel usuario,,300000.0,Matched (3),1,0,0,0,"[452, 1267, 3417, 4524]"
12,454525.0,20780,2010-07-14,4.0,0.0,1.0,2010-09-12 00:00:00,60,3,Psicologo FREE LANCE LINARES,Reclutamiento y Selección,Agua / Obras Sanitarias,"Prestigiosa Consultora de Recursos Humanos con importante Red Nacional, requiere Psicólogos Free Lance para realizar evaluaciones de personal en la cuidad de RANCAGUA. Los interesados deben poseer experiencia comprobable en Entrevistas por Competencias, lugar físico para realizar entrevistas y disponibilidad para trabajar dentro de los plazos de tiempos definidos. 
Interesados enviar currículum actualizado en formato Word, certificado de título escaneado, informe de competencias realizado y fotos de oficina a evaluacion@altodesarrollo.cl indicando en el asunto del mail, la ciudad a la cual postula LINARES y valores por evaluación.
",Part Time,por definir. ,Linares,Universitaria,Graduado,"- Conocimientos computacionales : a nivel usuario
- Poseer conocimientos en entrevistas por   competencias.
",[Psicología] - ,Desactivo,Pagado,Nivel usuario,,1.0,Matched (3),1,0,0,0,"[395, 2032, 2033, 2037, 2038, 2039, 2040, 2041, 2042, 2044, 2045, 2046, 2047, 2048, 3377, 3378, 3464, 3560, 3700, 3701, 3702, 3707, 3708]"
14,464194.0,598000,2010-09-21,1.0,0.0,1.0,2010-11-20 00:00:00,60,43,Experto en Prevención de Riesgos,Prevención de Riesgos,Aeronaves / Astilleros,"Importante empresa requiere contratar un Experto en Prevención de Riesgos, nivel de Ingeniero, con Número de Registro Seremi de Salud, para la Región Metropolitana.

Entre sus principales funciones se encuentra:
- Asesorar técnica y legalmente a la Jefatura y los Comités Paritarios de Higiene y Seguridad.
- Efectuar las investigaciones de los accidentes del trabajo y enfermedades profesionales.
- Capacitar a los trabajadores, Comités Paritarios y Jefaturas en materias de Prevención de Riesgos Ocupacionales.
- Realizar inspecciones planeadas y no planeadas para la detección de condiciones físicas de riesgos y acciones riesgosas de los trabajadores.
- Llevar los controles estadísticos de accidentabilidad, tasas de riesgos y cotizaciones.

",Jornada Completa,Por Definir,Santiago,Universitaria,Graduado,- Indispensable Número de Registro de Experto.,[Ingeniería en Prevención de Riesgos] - ,Desactivo,Pagado,Nivel usuario,,0.0,Matched (3),0,0,1,0,"[1173, 1174, 1399, 1411, 2663, 2798, 2810, 4326]"
18,473307.0,16062,2010-01-27,1.0,0.0,2.0,2010-03-28 00:00:00,60,1,Analista de Procesos,Control de Calidad,Agrícola / Ganadera,"Nuestra empresa requiere contratar a un Técnico Químico que cumpla con las siguientes funciones:

- Realizar durante su turno análisis físico–químico, organoléptico y cromatografía  de productos en proceso y terminados.

- Tomar muestras de agua según programa y realizar análisis de cloro residual.

- Verificar que los registros de calidad de planta evidencien el cumplimiento del autocontrol.

- Registrar toda la información recogida de las plantas en las planillas de auditoría e inspección y avisar en caso de anomalías al jefe de turno de la  planta respectiva y al jefe directo.",Por Turnos,Indefinido,Planta San Bernardo,Técnico medio/ colegio técnico,Indiferente,"- Técnico del área Química o Alimentos.
- Experiencia de al menos 2 años en Industrias de Alimentos.
- Capacidad de aprendizaje, buena comunicación con los distintos niveles de la estructura.
- Iniciativa, actitud proactiva, dinámico  y con capacidad para trabajar en equipo.
- Disponibilidad para trabajar en turnos.",[Técnico en control de calidad] - ,Desactivo,Pagado,Nivel usuario,,240000.0,Matched (3),1,0,0,0,[981]
36,498934.0,4438,2010-01-03,1.0,0.0,3.0,2010-03-04 00:00:00,60,5,Asistente de Mantencion y Produccion.,Mantención,Agropecuaria ,"
Importante empresa dedicada a la fabricación de envases plásticos, requiere para su departamento de Operaciones, Asistente de Mantenimiento y Producción, cuyo propósito se orienta a asegurar el cumplimiento de los Planes y Programas de trabajo del área, efectuando gestión de mantenimiento y producción, a través de la coordinación con los equipos de soplado, técnicos y unidad de servicio al cliente.

Dentro de sus funciones se encuentra:
Planificar y calendarizar las actividades de mantenimiento
Administrar Software de Mantenimiento, idealmente MFG o Sap
Participar de reuniones técnicas y de coordinación del área
Gestionar Cursos y Jornadas de capacitación asignadas
Mantener información técnica de los equipos y maquinarias del área
Dirigir y controlar el cumplimiento de las normas de seguridad para contratistas que trabajan en el área
Gestionar compras de repuestos y servicios del área

Requisitos:
Titulados de las carreras de Ingeniería de ejecución Eléctrica, electrónica, industrial, mecánica o instrumentación.
Tres años de experiencia en cargos similares, idealmente en plantas productivas plástico o alimento
Conocimientos en Soplado, Hidráulica, Neumática, PLC,Electromecánica
Nivel computacional Office Avanzado, MP2 o similar avanzado
Conocimientos de Autocad (Condición no excluyente)
Conocimientos de Inglés Técnico a nivel de lectura

Nuestra búsqueda se orienta a personas afables, empáticas, con capacidad para manejar gestión de personas. Se ofrece renta acorde a mercado, colación y beneficios a partir de contrato indefinido.",Jornada Completa,Indefinido.,Santiago,Técnico profesional superior,Graduado,Los postulantes deben tener un minimo de 3 años de experiencia en industrial productivas y sus estudios deben estar terminados.,[Ingeniería en Automatización y Control Industrial] - ,Desactivo,Pagado,Nivel usuario avanzado,,1.0,Matched (3),0,0,1,0,[141]
45,505419.0,619651,2010-01-13,40.0,0.0,0.0,2010-02-13 00:00:00,31,1,gerente,Servicios,Carpintería / Muebles,"URGENTE
Solicito personas en area de gerente que sea responsable, buena presentaciòn, con o sin experienca.
Horario flexible de lunes a viernes, opportunidad de crecimiento a corto plazo.
Apoye empresa en reclutamiento y selecciòn de personal.",Media Jornada,indefinito,Puebla,Secundaria,Indiferente,con o sin experienca,,Desactivo,Pagado,Ninguno,,7200.0,Matched (3),0,0,0,1,"[56, 57]"
55,509028.0,619651,2010-01-14,10.0,0.0,0.0,2010-03-15 00:00:00,60,1,Secretarias,Administración,Aeronaves / Astilleros,"URGENTE
Solicito personas en area de secretarias que sea responsable, buena presentaciòn, con o sin experienca.
Horario flexible de lunes a viernes, opportunidad de crecimiento a corto plazo.
Apoye empresa en reclutamiento y selecciòn de personal.
Interesados comunicar con Lic.Marc
rec.humanos.sandrine@gmail.com
(222)409 001 4",Media Jornada,Indefinito,Puebla,Preparatoria,Indiferente,con o sin experienca,,Desactivo,Pagado,Ninguno,,4800.0,Matched (3),0,0,0,1,"[60, 61, 62, 63, 64, 264, 265, 266, 267, 268, 269]"
56,509033.0,619651,2010-01-13,15.0,0.0,0.0,2010-03-15 00:00:00,61,0,Comercio internacional,Administración,Aeronaves / Astilleros,"URGENTE
Solicito comercio internacional que sea responsable, buena presentaciòn, con o sin experienca.
Horario flexible de lunes a viernes, opportunidad de crecimiento a corto plazo.
Apoye empresa en reclutamiento y selecciòn de personal.",Media Jornada,indefinito,Puebla,Preparatoria,Indiferente,con o sin experienca,,Desactivo,Pagado,Ninguno,,7000.0,Matched (3),0,0,0,1,[45]
57,509043.0,619651,2010-01-14,10.0,0.0,0.0,2010-03-15 00:00:00,60,1,Recepcionista,Otra Área,Aeronaves / Astilleros,"URGENTE
Solicito personas en area de recepcionista que sea responsable, buena presentaciòn, con o sin experienca.
Horario flexible de lunes a viernes, opportunidad de crecimiento a corto plazo.
Apoye empresa en reclutamiento y selecciòn de personal.
",Media Jornada,indefinito,Puebla,Preparatoria,Indiferente,con o sin experienca,,Desactivo,Pagado,Ninguno,,6000.0,Matched (3),0,0,0,1,[45]
